age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18,Private,167979,11th,7,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,0
28,Private,181597,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,1
47,Private,159399,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,3
51,Private,115066,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,2
23,Local-gov,254127,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,50,United-States,0
43,Self-emp-inc,342510,Bachelors,13,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,60,United-States,3
55,Federal-gov,305850,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,2
38,Private,414991,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,3
45,Private,160440,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,3
35,Private,260578,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,2
33,Private,99339,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,880,40,United-States,0
45,Private,51744,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,42,United-States,0
33,Private,145402,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,35,United-States,1
30,Federal-gov,423064,HS-grad,9,Separated,Adm-clerical,Other-relative,Black,Male,0,0,35,United-States,0
26,Private,51961,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,55,Philippines,1
57,Private,375868,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
46,Private,141058,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,3
34,Private,41809,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
20,Private,50648,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,0
34,Self-emp-not-inc,33442,Assoc-voc,11,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,0
30,Private,378723,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,55,United-States,0
25,Local-gov,276249,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
44,Federal-gov,316120,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,2
27,Private,198587,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,60,United-States,1
31,State-gov,301526,Some-college,10,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,40,United-States,0
32,Self-emp-not-inc,97723,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,0
36,Private,47310,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
33,Private,295649,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,China,0
27,Private,210498,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,2
38,Private,220585,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,2
27,Private,194472,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,60,United-States,0
37,Local-gov,289238,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
50,?,194186,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,60,United-States,0
49,State-gov,131302,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,44,United-States,0
28,Self-emp-not-inc,195607,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
40,Self-emp-not-inc,223881,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,3
46,State-gov,265554,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0
34,Private,142989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
50,Self-emp-inc,194514,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,50,Trinadad&Tobago,0
87,?,90338,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,2,United-States,0
27,Self-emp-not-inc,328518,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,White,Male,0,0,30,United-States,0
25,Private,69739,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
45,Private,252079,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,3
51,Private,384248,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,50,United-States,0
29,Private,187479,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
27,Private,321456,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,10,Germany,1
41,Private,271753,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
71,Private,345339,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,28,United-States,1
44,Self-emp-not-inc,172296,Some-college,10,Separated,Sales,Unmarried,White,Male,0,0,60,United-States,0
57,Private,73051,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
64,Self-emp-inc,165667,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,Canada,2
36,State-gov,36397,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,55,United-States,0
41,State-gov,170924,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
24,Private,254293,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,45,United-States,0
38,Private,187870,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,United-States,2
60,Private,227332,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
29,Private,354496,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
21,,278130,HS-grad,9,Never-married,,Own-child,White,Male,0,0,40,United-States,1
35,Private,241306,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,1
22,Private,437994,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,20,United-States,0
17,Local-gov,340043,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,0
59,Private,279232,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Puerto-Rico,0
41,Private,171550,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,2
29,Private,159109,11th,7,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,United-States,1
51,Self-emp-not-inc,220001,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,1
46,Private,52291,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,2
35,Private,105813,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,2
34,Self-emp-not-inc,137223,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
17,Private,117477,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
