gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,8,12,0.6881188118811881,0.2833396283017605,0.37623762376237624,1.0,0.3482142857142857,71,66.33333333333333,3,1.9166666666666667,7,6.416666666666667,5.583333333333333,8,0.0,1.514603614807129,"stack ( XGB ( n_estimators = 10 , max_depth = 2 ) ; n_estimators = 5 )"
1,0,20,0.43069306930693074,0.06941293166863803,0.37623762376237624,0.6633663366336633,0.3482142857142857,71,73.1,3,2.45,7,7.05,7.45,8,9.226799011230469e-05,3.343576431274414,"stack ( XGB ( n_estimators = 10 , max_depth = 2 ) ; n_estimators = 5 )"
2,0,20,0.40297029702970305,0.04549071290162433,0.3465346534653465,0.5148514851485149,0.3794642857142857,71,73.9,3,2.9,7,7.2,8.3,8,0.00012946128845214844,3.247684955596924,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
3,0,20,0.44306930693069313,0.1356065209228969,0.3465346534653465,1.0,0.3794642857142857,71,72.3,3,3.2,7,7.35,9.15,8,0.0001246929168701172,3.4123806953430176,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
4,0,20,0.4000000000000001,0.04864601384767623,0.3465346534653465,0.49504950495049505,0.3794642857142857,71,71.9,3,2.55,7,6.9,7.3,8,0.00014472007751464844,3.072434902191162,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
5,0,20,0.4168316831683169,0.063851791435193,0.3465346534653465,0.5643564356435644,0.3794642857142857,71,71.55,3,3.1,7,7.35,9.05,8,0.00010180473327636719,2.956787586212158,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
6,0,20,0.4292079207920792,0.05758555774785255,0.3465346534653465,0.5148514851485149,0.3794642857142857,71,72.2,3,3.0,7,7.25,8.55,8,0.00012135505676269531,3.7169880867004395,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
7,0,20,0.4133663366336634,0.04757371652570597,0.3465346534653465,0.48514851485148514,0.3794642857142857,71,74.05,3,2.8,7,7.15,8.15,8,0.00010466575622558594,2.6798131465911865,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
8,0,20,0.42227722772277226,0.07324558146667776,0.3465346534653465,0.5544554455445545,0.3794642857142857,71,75.8,3,2.75,7,7.2,8.2,8,8.988380432128906e-05,4.037917852401733,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
9,0,20,0.4331683168316832,0.04535853099134467,0.3465346534653465,0.48514851485148514,0.3794642857142857,71,72.15,3,3.05,7,7.45,9.15,8,7.915496826171875e-05,4.732008218765259,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
10,0,20,0.43514851485148515,0.05952751586110131,0.3465346534653465,0.5841584158415842,0.3794642857142857,71,72.65,3,3.05,7,7.4,9.15,8,0.00010991096496582031,4.090737581253052,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
11,0,20,0.43712871287128713,0.08338461971149679,0.3465346534653465,0.594059405940594,0.3794642857142857,71,72.1,3,2.6,7,6.9,7.25,8,8.440017700195312e-05,2.0084967613220215,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
12,0,20,0.4123762376237624,0.04953217073431338,0.3465346534653465,0.48514851485148514,0.3794642857142857,71,73.9,3,2.95,7,7.25,8.55,8,8.845329284667969e-05,3.229987382888794,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
13,0,20,0.4044554455445545,0.05909779818254238,0.3465346534653465,0.5148514851485149,0.3794642857142857,71,75.8,3,3.2,7,7.25,8.9,8,0.00010418891906738281,2.8097634315490723,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
14,0,20,0.45049504950495056,0.05043677476019813,0.3465346534653465,0.5544554455445545,0.3794642857142857,71,77.9,3,2.75,7,7.0,7.8,8,8.559226989746094e-05,3.6853723526000977,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
15,0,20,0.4242574257425743,0.056032518881788784,0.3465346534653465,0.5247524752475248,0.3794642857142857,71,78.4,3,3.0,7,7.4,9.05,8,8.535385131835938e-05,5.266280651092529,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
16,0,20,0.4133663366336634,0.04849211429206661,0.3465346534653465,0.48514851485148514,0.3794642857142857,71,71.0,3,3.1,7,7.3,8.9,8,9.72747802734375e-05,2.2867605686187744,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
17,0,20,0.4004950495049505,0.061948478265537295,0.3465346534653465,0.5841584158415842,0.3794642857142857,71,71.55,3,2.75,7,7.0,7.8,8,9.608268737792969e-05,12.206328630447388,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
18,0,20,0.408910891089109,0.06485715340658346,0.3465346534653465,0.5841584158415842,0.3794642857142857,71,73.45,3,3.35,7,7.35,9.35,8,8.153915405273438e-05,3.418919324874878,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
19,0,20,0.4158415841584159,0.058239370969713836,0.3465346534653465,0.5544554455445545,0.3794642857142857,71,72.85,3,3.7,7,7.75,10.8,8,0.00023889541625976562,3.077014207839966,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
20,0,20,0.40297029702970305,0.054238993761593426,0.3465346534653465,0.48514851485148514,0.3794642857142857,71,74.45,3,2.5,7,7.0,7.05,8,8.082389831542969e-05,2.755457878112793,"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) ; n_estimators = 10 )"
